Date,Component,MOS,Cutoff_SGT,Cutoff_SSG,Eligibles_SGT,Eligibles_SSG,Promotions_SGT,Promotions_SSG
2023-AUG,ACTIVE,38W,,798,,0,,0
2023-AUG,ACTIVE,42A,486,544,762,556,6,25
2023-AUG,ACTIVE,42R,360,609,11,86,7,7
2023-AUG,ACTIVE,46S,144,798,2,26,2,0
2023-AUG,ACTIVE,46T,798,798,28,21,0,0
2023-AUG,ACTIVE,46V,441,798,83,50,3,0
2023-AUG,ACTIVE,51C,,798,,0,,0
2023-AUG,ACTIVE,56M,362,552,75,153,7,8
2023-AUG,ACTIVE,68A,282,547,23,35,7,1
2023-AUG,ACTIVE,68B,185,518,4,5,2,1
2023-AUG,ACTIVE,68C,374,593,170,181,22,12
2023-AUG,ACTIVE,68D,467,798,99,65,4,0
2023-AUG,ACTIVE,68E,518,702,125,79,2,1
2023-AUG,ACTIVE,68F,120,528,2,37,2,2
2023-AUG,ACTIVE,68G,410,551,33,50,1,2
2023-AUG,ACTIVE,68H,554,798,20,7,2,0
2023-AUG,ACTIVE,68J,423,561,75,71,5,3
2023-AUG,ACTIVE,68K,501,600,209,107,17,6
2023-AUG,ACTIVE,68L,798,798,5,18,0,0
2023-AUG,ACTIVE,68M,344,496,14,16,3,2
2023-AUG,ACTIVE,68P,472,798,141,73,6,0
2023-AUG,ACTIVE,68Q,798,798,49,44,0,0
2023-AUG,ACTIVE,68R,442,629,113,128,8,3
2023-AUG,ACTIVE,68S,240,562,13,41,9,8
2023-AUG,ACTIVE,68T,451,624,62,53,4,1
2023-AUG,ACTIVE,68V,798,798,0,59,0,0
2023-AUG,ACTIVE,68W,363,544,807,925,84,65
2023-AUG,ACTIVE,68X,428,584,58,98,3,1
2023-AUG,ACTIVE,68Y,798,798,0,12,0,0
2023-AUG,ACTIVE,74D,257,356,119,250,33,32
2023-AUG,ACTIVE,79R,,798,,0,,0
2023-AUG,ACTIVE,79S,,227,,13,,13
2023-AUG,ACTIVE,88H,798,589,140,142,0,3
2023-AUG,ACTIVE,88K,259,798,2,14,2,0
2023-AUG,ACTIVE,88L,129,89,1,1,1,1
2023-AUG,ACTIVE,88M,312,553,627,1069,99,36
2023-AUG,ACTIVE,88N,216,387,31,90,15,17
2023-AUG,ACTIVE,89A,208,,7,,4,
2023-AUG,ACTIVE,89B,402,403,227,79,9,10
2023-AUG,ACTIVE,89D,252,144,3,5,3,5
2023-AUG,ACTIVE,91A,203,429,29,104,6,4
2023-AUG,ACTIVE,91B,374,549,913,1214,23,32
2023-AUG,ACTIVE,91C,391,620,176,230,15,7
2023-AUG,ACTIVE,91D,464,611,208,231,5,7
2023-AUG,ACTIVE,91E,417,798,105,130,3,0
2023-AUG,ACTIVE,91F,798,798,173,199,0,0
2023-AUG,ACTIVE,91H,194,401,40,62,12,5
2023-AUG,ACTIVE,91J,798,,73,,0,
2023-AUG,ACTIVE,91L,176,449,19,43,9,3
2023-AUG,ACTIVE,91M,155,412,8,93,8,4
2023-AUG,ACTIVE,91P,101,798,5,19,4,0
2023-AUG,ACTIVE,91S,798,798,91,130,0,0
2023-AUG,ACTIVE,92A,335,629,608,801,98,41
2023-AUG,ACTIVE,92F,389,621,635,595,58,19
2023-AUG,ACTIVE,92G,201,484,158,402,54,18
2023-AUG,ACTIVE,92L,798,,12,,0,
2023-AUG,ACTIVE,92M,296,798,13,14,2,0
2023-AUG,ACTIVE,92R,300,521,63,93,18,6
2023-AUG,ACTIVE,92S,250,466,15,18,6,1
2023-AUG,ACTIVE,92W,355,578,88,127,8,7
2023-AUG,ACTIVE,92Y,328,486,574,917,55,65
2023-AUG,ACTIVE,94A,798,798,16,12,0,0
2023-AUG,ACTIVE,94D,222,798,5,0,3,0
2023-AUG,ACTIVE,94E,798,389,61,5,0,3
2023-AUG,ACTIVE,94F,798,798,99,9,0,0
2023-AUG,ACTIVE,94H,425,798,8,15,1,0
2023-AUG,ACTIVE,94M,363,344,16,5,1,2
2023-AUG,ACTIVE,94P,201,798,1,3,1,0
2023-AUG,ACTIVE,94R,433,798,31,12,1,0
2023-AUG,ACTIVE,94S,241,798,4,0,1,0
2023-AUG,ACTIVE,94T,798,798,26,8,0,0
2023-AUG,ACTIVE,94Y,798,798,6,18,0,0
2024-AUG,ACTIVE,11B,534,798,2818,1883,51,0
2024-AUG,ACTIVE,11C,457,798,371,130,21,0
2024-AUG,ACTIVE,12B,24,407,53,344,53,19
2024-AUG,ACTIVE,12C,148,798,10,64,9,0
2024-AUG,ACTIVE,12D,24,24,1,1,1,1
2024-AUG,ACTIVE,12H,,527,,45,,3
2024-AUG,ACTIVE,12K,288,,4,,1,
2024-AUG,ACTIVE,12M,798,24,7,0,0,0
2024-AUG,ACTIVE,12N,451,676,178,213,12,3
2024-AUG,ACTIVE,12P,24,768,0,81,0,2
2024-AUG,ACTIVE,12R,24,,0,,0,
2024-AUG,ACTIVE,12T,24,24,4,3,4,3
2024-AUG,ACTIVE,12W,499,,13,,1,
2024-AUG,ACTIVE,12Y,219,24,13,5,7,5
2024-AUG,ACTIVE,13B,24,308,72,203,72,39
2024-AUG,ACTIVE,13F,24,470,42,196,42,10
2024-AUG,ACTIVE,13J,304,359,182,76,19,16
2024-AUG,ACTIVE,13M,24,24,18,14,18,14
2024-AUG,ACTIVE,13R,411,342,63,10,5,3
2024-AUG,ACTIVE,14E,389,442,165,62,17,10
2024-AUG,ACTIVE,14G,588,559,239,81,2,9
2024-AUG,ACTIVE,14H,602,734,111,98,3,1
2024-AUG,ACTIVE,14P,798,798,105,150,0,0
2024-AUG,ACTIVE,14T,481,538,297,136,10,6
2024-AUG,ACTIVE,15B,683,798,119,36,1,1
2024-AUG,ACTIVE,15C,649,798,204,60,5,0
2024-AUG,ACTIVE,15D,798,798,109,52,0,0
2024-AUG,ACTIVE,15E,798,798,105,32,0,0
2024-AUG,ACTIVE,15F,798,798,71,27,0,0
